puzzle	date	reason	word1	word2	word3	word4
111	September 30th, 2023	PLAYING CARD SUITS	CLUB	 DIAMOND	 HEART	 SPADE
111	September 30th, 2023	GOLF CLUBS	IRON	 PUTTER	 WEDGE	 WOOD
111	September 30th, 2023	YEARN	ACHE	 LONG	 PINE	 THIRST
111	September 30th, 2023	INSUFFICIENT	LOW	 SHORT	 SHY	 WANTING
110	September 29th, 2023	VERY IMPORTANT	CENTRAL	 CRITICAL	 KEY	 VITAL
110	September 29th, 2023	RECYCLNG CATEGORIES	GLASS	 METAL	 PAPER	 PLASTIC
110	September 29th, 2023	HUDSONS	HENRY	 JENNIFER	 KATE	 ROCK
110	September 29th, 2023	WHAT “BEAT” MAY MEAN	ASSIGNMENT	 DEFEAT	 TEMPO	 TIRED
109	September 28th, 2023	REFLECT LIGHT	FLASH	 GLEAM	 GLITTER	 SPARKLE
109	September 28th, 2023	WAYS TO GATHER FOOD	FISH	 FORAGE	 HUNT	 TRAP
109	September 28th, 2023	RAP SUBGENRES	BOUNCE	 CRUNK	 DRILL	 GRIME
109	September 28th, 2023	LIGHT ___	BEER	 BULB	 RAIL	 YEAR
108	September 27th, 2023	PRODUCED BY TREES	ACORN	 CONE	 POLLEN	 SAP
108	September 27th, 2023	CANDY STORE TREATS	CHOCOLATE	 GUM	 LICORICE	 LOLLIPOP
108	September 27th, 2023	TARGET OF A SCHEME	CHUMP	 FOOL	 MARK	 SUCKER
108	September 27th, 2023	THINGS WITH EYE(S)	FACE	 HURRICANE	 NEEDLE	 POTATO
107	September 26th, 2023	SNAKES	BOA	 MAMBA	 PYTHON	 VIPER
107	September 26th, 2023	LINGERIE	GARTER	 SLIP	 TEDDY	 THONG
107	September 26th, 2023	SUMMARY	ABSTRACT	 BRIEF	 DIGEST	 RUNDOWN
107	September 26th, 2023	FULL ___	CIRCLE	 HOUSE	 MONTY	 MOON
106	September 25th, 2023	BRIDAL ACCESSORIES	BOUQUET	 RING	 TRAIN	 VEIL
106	September 25th, 2023	“C” WORDS FOR “ENVELOP”	CAKE	 COAT	 COVER	 CRUST
106	September 25th, 2023	JACKS	BLACK	 FROST	 MA	 SPARROW
106	September 25th, 2023	SOCIAL MEDIA APP ENDINGS	BOOK	 GRAM	 IN	 TUBE
105	September 24th, 2023	KITCHEN UTENSILS	GRATER	 LADLE	 PEELER	 WHISK
105	September 24th, 2023	VERTEBRATES	BIRD	 FISH	 MAMMAL	 REPTILE
105	September 24th, 2023	SUPER MARIO-RELATED	DINOSAUR	 MUSHROOM	 PLUMBER	 PRINCESS
105	September 24th, 2023	SITCOM FAMILIES	BUNKER	 CLEAVER	 PARTRIDGE	 TANNER
104	September 23rd, 2023	ROBUST	FIT	 HEALTHY	 SOUND	 STRONG
104	September 23rd, 2023	DECLINE	DIP	 DROP	 FALL	 SINK
104	September 23rd, 2023	WATER SOURCES	FOUNTAIN	 SPRING	 TAP	 WELL
104	September 23rd, 2023	WOMEN SINGERS	KEYS	 NICKS	 SUMMER	 SWIFT
103	September 22nd, 2023	SODA FOUNTAIN ORDERS	FLOAT	 MALT	 SHAKE	 SUNDAE
103	September 22nd, 2023	SET, AS PLANS	CONCRETE	 FIRM	 SOLID	 TANGIBLE
103	September 22nd, 2023	M. NIGHT SHYAMALAN MOVIES	GLASS	 OLD	 SIGNS	 SPLIT
103	September 22nd, 2023	___BOARD	DASH	 HOVER	 KEY	 STAR
102	September 21st, 2023	RESTAURANT WORKERS	BARTENDER	 CHEF	 HOST	 SERVER
102	September 21st, 2023	MOTOR VEHICLES	BUS	 CAR	 MOTORCYCLE	 TRUCK
102	September 21st, 2023	MUPPETS	ANIMAL	 BEAKER	 GONZO	 SCOOTER
102	September 21st, 2023	HAND- AND FOOT-RELATED SLANG	DIGIT	 DOG	 MITT	 PIGGY
101	September 20th, 2023	REPLACEMENT	BACKUP	 COPY	 EXTRA	 SPARE
101	September 20th, 2023	BOWLING	ALLEY	 BALL	 LANE	 PIN
101	September 20th, 2023	COMMON MERCH ITEMS	MUG	 PEN	 TEE	 TOTE
101	September 20th, 2023	NUMBER HOMOPHONES	ATE	 FOR	 TOO	 WON
100	September 19th, 2023	WEB BROWSER-RELATED	BOOKMARK	 HISTORY	 TAB	 WINDOW
100	September 19th, 2023	SHIRT FEATURES	BUTTON	 COLLAR	 CUFF	 POCKET
100	September 19th, 2023	CONNECTION	BOND	 LINK	 RELATION	 TIE
100	September 19th, 2023	DIRTY ___	DOZEN	 JOKE	 LAUNDRY	 MARTINI
99	September 18th, 2023	INTELLIGENT	BRIGHT	 CLEVER	 QUICK	 SHARP
99	September 18th, 2023	AIRLINES	ALASKA	 FRONTIER	 SOUTHWEST	 SPIRIT
99	September 18th, 2023	WESTERN TROPES	COWBOY	 DRIFTER	 OUTLAW	 SHERIFF
99	September 18th, 2023	TV SHOW TITLE SURNAMES	LASSO	 MARS	 ROGERS	 SMART
98	September 17th, 2023	FRUITS	APRICOT	 FIG	 GRAPE	 LIME
98	September 17th, 2023	LUXURIOUS	DELUXE	 GRAND	 LAVISH	 OPULENT
98	September 17th, 2023	BEST ACTRESS OSCAR WINNERS	BERRY	 FOSTER	 STONE	 SWANK
98	September 17th, 2023	WHAT “GREEN” MIGHT MEAN	ENVIOUS	 FRESH	 NAIVE	 UNWELL
97	September 16th, 2023	FAIRY TALE FIGURES	GIANT	 PRINCESS	 WITCH	 WOLF
97	September 16th, 2023	CHESS TERMS	BISHOP	 MATE	 GAMBIT	 QUEEN
97	September 16th, 2023	“PEANUTS” CHARACTERS	CHARLIE	 PEPPERMINT PATTY	 PIGPEN	 WOODSTOCK
97	September 16th, 2023	I LOVE ___	LUCY	 NEW YORK	 ROCK 'N ROLL	 YOU
96	September 15th, 2023	BOVIDS	BUFFALO	 COW	 GOAT	 SHEEP
96	September 15th, 2023	EMIT LIGHT	BEAM	 GLOW	 RADIATE	 SHINE
96	September 15th, 2023	GYMNASTICS APPARATUS	FLOOR	 HORSE	 RINGS	 VAULT
96	September 15th, 2023	WORDS THAT SOUND LIKE TWO LETTERS	CUTIE	 ENVY	 EXCEL	 SEEDY
95	September 14th, 2023	EYE PARTS	IRIS	 LENS	 PUPIL	 RETINA
95	September 14th, 2023	COUNTERFEIT	BOGUS	 FAKE	 PHONY	 SHAM
95	September 14th, 2023	RADIO LINGO	COPY	 OUT	 OVER	 ROGER
95	September 14th, 2023	SONGS THAT ARE NAMES	ALEJANDRO	 LOLA	 MICHELLE	 STAN
94	September 13th, 2023	“SKEDADDLE!”	GET OUT	 GO	 LEAVE	 SCRAM
94	September 13th, 2023	PRONOUNS	ME	 THEM	 US	 YOU
94	September 13th, 2023	ANAGRAMS	NOPE	 OPEN	 PEON	 PONE
94	September 13th, 2023	___ BABY	BEANIE	 FUR	 NEPO	 SANTA
93	September 12th, 2023	HOT DRINKS	CHAI	 COCOA	 COFFEE	 TEA
93	September 12th, 2023	ANIMAL SOUNDS	BUZZ	 CLUCK	 MEOW	 OINK
93	September 12th, 2023	TREE FEATURES	BARK	 BRANCH	 ROOT	 TRUNK
93	September 12th, 2023	INSIDE INFO	DIRT	 DISH	 SCOOP	 SKINNY
92	September 11th, 2023	HALLOWEEN DECORATIONS	BAT	 COBWEB	 PUMPKIN	 TOMBSTONE
92	September 11th, 2023	TV SHOWS	24	 BONES	 FIREFLY	 WEEDS
92	September 11th, 2023	SLOT MACHINE SYMBOLS	7	 BAR	 BELL	 CHERRY
92	September 11th, 2023	NUMBERS IN BOOK TITLES	22	 451	 2001	 20000
91	September 10th, 2023	AMAZON ANIMALS	ANACONDA	 CAPYBARA	 JAGUAR	 TOUCAN
91	September 10th, 2023	LOWEST POINT	BASE	 BOTTOM	 FOOT	 FOUNDATION
91	September 10th, 2023	MUSICALS	COMPANY	 GREASE	 HAIR	 RENT
91	September 10th, 2023	SEA ___	CHANGE	 CUCUMBER	 LEGS	 LION
90	September 9th, 2023	BASEBALL CALLS	BALL	 OUT	 SAFE	 STRIKE
90	September 9th, 2023	HEAT SOURCES	FORGE	 FURNACE	 KILN	 OVEN
90	September 9th, 2023	FISH THAT ARE VERBS	CARP	 CATFISH	 FLOUNDER	 SMELT
90	September 9th, 2023	SILENT “L”	COLONEL	 SALMON	 WALK	 YOLK
89	September 8th, 2023	INHERENT NATURE	ESSENCE	 HEART	 SPIRIT	 SOUL
89	September 8th, 2023	FERMENETED ALCOHOLIC BEVERAGES	CIDER	 PORT	 SAKE	 STOUT
89	September 8th, 2023	PIXAR MOVIES	BRAVE	 CARS	 COCO	 UP
89	September 8th, 2023	___ TAPE	DEMO	 RED	 SCOTCH	 TICKER
88	September 7th, 2023	ROCKY HORROR PICTURE SHOW	HORROR	 PICTURE	 ROCKY	 SHOW
88	September 7th, 2023	WHO FRAMED ROGER RABBIT	FRAMED	 RABBIT	 ROGER	 WHO
88	September 7th, 2023	WHEN HARRY MET SALLY	HARRY	 MET	 SALLY	 WHEN
88	September 7th, 2023	MAD MAX FURY ROAD	FURY	 MAD	 MAX	 ROAD
87	September 6th, 2023	CREATURES IN FOLKLORE	GNOME	 GOBLIN	 OGRE	 TROLL
87	September 6th, 2023	FLOWER PARTS	BUD	 LEAF	 PETAL	 STALK
87	September 6th, 2023	ONE INVOLVED IN ESPIONAGE	AGENT	 MOLE	 PLANT	 SPY
87	September 6th, 2023	CHINESE ZODIAC ANIMALS	DRAGON	 HORSE	 RABBIT	 TIGER
86	September 5th, 2023	INFORMATION DISPLAYS	CHART	 DIAGRAM	 GRAPH	 MAP
86	September 5th, 2023	ADDITIONAL BENEFIT	BONUS	 EXTRA	 ICING	 PERK
86	September 5th, 2023	THANKSGIVING FOOD	GRAVY	 PIE	 STUFFING	 TURKEY
86	September 5th, 2023	SONG TITLES WITH PARENTHESES	I RAN	 ISTANBUL	 MONTERO	 SATISFACTION
85	September 4th, 2023	PAINTING ACCESSORIES	BRUSH	 CANVAS	 EASEL	 PALETTE
85	September 4th, 2023	AUTOMATIC TRANSMISSION SETTINGS	DRIVE	 NEUTRAL	 PARK	 REVERSE
85	September 4th, 2023	THINGS WITH TEETH	COMB	 GEAR	 SAW	 ZIPPER
85	September 4th, 2023	___ CHAIR	FIRST	 FOLDING	 HIGH	 LAWN
84	September 3rd, 2023	FEMALE ANIMALS	COW	 DOE	 HEN	 MARE
84	September 3rd, 2023	PRONOUNS	I	 IT	 THEY	 WE
84	September 3rd, 2023	ROMAN NUMERALS	D	 L	 M	 V
84	September 3rd, 2023	HOMOPHONES	EWE	 U	 YEW	 YOU
83	September 2nd, 2023	AU NATUREL	BARE	 NAKED	 NUDE	 UNCLAD
83	September 2nd, 2023	BAKED GOODS	BUN	 DANISH	 MUFFIN	 TURNOVER
83	September 2nd, 2023	AMERICAN FOOTBALL ACTIONS	FUMBLE	 PUNT	 SACK	 SNAP
83	September 2nd, 2023	MANICURE STEPS	BUFF	 CLIP	 FILE	 POLISH
82	September 1st, 2023	DRINK VESSELS	GOBLET	 SNIFTER	 TUMBLER	 STEIN
82	September 1st, 2023	WOODWINDS	CLARINET	 FLUTE	 OBOE	 SAXOPHONE
82	September 1st, 2023	AMERICAN POETS	BISHOP	 FROST	 OLDS	 POUND
82	September 1st, 2023	CONSECUTIVE DOUBLE LETTERS	BALLOON	 BASSOON	 COFFEE	 FRICASSEE
81	August 31st, 2023	APPETIZER UNIT	FRY	 NACHO	 POPPER	 WING
81	August 31st, 2023	RESPONSE TO A CORRECT ANSWER	BINGO	 CORRECT	 RIGHT	 YES
81	August 31st, 2023	MAR	CHIP	 DING	 NICK	 SCRATCH
81	August 31st, 2023	___JACK	APPLE	 CRACKER	 FLAP	 LUMBER
80	August 30th, 2023	PLAYGROUND FIXTURES	SANDBOX	 SEESAW	 SLIDE	 SWING
80	August 30th, 2023	INFLUENCE	CLOUT	 PULL	 SWAY	 WEIGHT
80	August 30th, 2023	EGYPTIAN SYMBOLS	ANKH	 CROOK	 EYE	 SCARAB
80	August 30th, 2023	FONTS	COURIER	 IMPACT	 PAPYRUS	 TIMES
79	August 29th, 2023	DEPART QUICKLY	BOOK	 BOUNCE	 RUN	 SPLIT
79	August 29th, 2023	ANIMALS THAT END WITH X	FOX	 IBEX	 LYNX	 ORYX
79	August 29th, 2023	SHADES OF BLACK	EBONY	 JET	 ONYX	 RAVEN
79	August 29th, 2023	WORDS BEFORE DAYS OF THE WEEK	ASH	 BLACK	 CYBER	 FAT
78	August 28th, 2023	STATES OF ELATION	BLISS	 CLOUD NINE	 HEAVEN	 PARADISE
78	August 28th, 2023	SCAM	CON	 FAST ONE	 HUSTLE	 RACKET
78	August 28th, 2023	GREETING GESTURES	HIGH FIVE	 HUG	 SHAKE	 WAVE
78	August 28th, 2023	___ LIST	BUCKET	 GUEST	 TOP TEN	 WISH
77	August 27th, 2023	POULTRY CUTS	BREAST	 DRUMSTICK	 TENDER	 WING
77	August 27th, 2023	GOLF TERMS	DRIVER	 EAGLE	 HOLE	 STROKE
77	August 27th, 2023	DRUM SET COMPONENTS	CYMBAL	 KICK	 SNARE	 TOM
77	August 27th, 2023	ASSOCIATED WITH "CRAWL"	INFANT	 PUB	 SWIMMING	 TICKER
76	August 26th, 2023	BOARD GAMES	RISK	 SORRY	 TABOO	 TROUBLE
76	August 26th, 2023	NEWSPAPER SECTIONS	BUSINESS	 NATIONAL	 OPINION	 STYLE
76	August 26th, 2023	FIGURES IN GREEK MYTH	ATLAS	 HERMES	 NIKE	 PARIS
76	August 26th, 2023	ADJECTIVES IN RAPPERS' NAMES	FOXY	 GUCCI	 KILLER	 NOTORIOUS
75	August 25th, 2023	SOCIAL GATHERING	BASH	 BLOWOUT	 PARTY	 SHINDIG
75	August 25th, 2023	"PINOCCHIO" FIGURES	CRICKET	 PUPPET	 WHALE	 WOODCARVER
75	August 25th, 2023	FOUND IN A KITCHEN	COUNTER	 MIXER	 RANGE	 SINK
75	August 25th, 2023	EASTER ___	BUNNY	 EGG	 ISLAND	 SUNDAY
74	August 24th, 2023	EXTINCT ANIMALS	DODO	 MAMMOTH	 MASTODON	 TRILOBITE
74	August 24th, 2023	FAILURES	BUSTS	 FLOPS	 MISSES	 TURKEYS
74	August 24th, 2023	SLANG FOR CLOTHES	DUDS	 GETUP	 OUTFIT	 THREADS
74	August 24th, 2023	KISS	PECK	 SMACK	 SMOOCH	 X
73	August 23rd, 2023	FACIAL HAIR	BEARD	 GOATEE	 MUSTACHE	 STUBBLE
73	August 23rd, 2023	BIKE PARTS	GEAR	 HANDLEBAR	 PEDAL	 WHEEL
73	August 23rd, 2023	PURSUE	DOG	 FOLLOW	 TAIL	 TRACK
73	August 23rd, 2023	THINGS THAT ARE CAST	DOUBT	 MOVIE	 SHADOW	 VOTE
72	August 22nd, 2023	PERFORMING ARTISTS	ACTOR	 DANCER	 SINGER	 STAND
72	August 22nd, 2023	SANTA'S REINDEER	COMET	 CUPID	 DASHER	 VIXEN
72	August 22nd, 2023	SEEN ON VALENTINE'S DAY	CARD	 CHOCOLATE	 HEART	 ROSE
72	August 22nd, 2023	"BAD ___" MOVIES"	BOYS	 LIEUTENANT	 SANTA	 TASTE
71	August 21st, 2023	U.S. MOUNTAIN STATES	ARIZONA	 COLORADO	 NEVADA	 UTAH
71	August 21st, 2023	SODA BRANDS	CRUSH	 MUG	 SPRITE	 SQUIRT
71	August 21st, 2023	CLASSIC ROCK BANDS	GENESIS	 KANSAS	 RUSH	 YES
71	August 21st, 2023	TONY ___	HAWK	 MONTANA	 SOPRANO	 STARK
70	August 20th, 2023	CAMPING SUPPLIES	COOLER	 LANTERN	 SLEEPING BAG	 TENT
70	August 20th, 2023	INSULT	BARB	 DIG	 DISS	 JAB
70	August 20th, 2023	TINY	MINUTE	 SLIGHT	 SMALL	 WEE
70	August 20th, 2023	HAPPY ___	CAMPER	 HOUR	 MEAL	 MEDIUM
69	August 19th, 2023	FRIEND	BUD	 CHUM	 MATE	 PAL
69	August 19th, 2023	COOKWEAR	CROCK	 POT	 SKILLET	 WOK
69	August 19th, 2023	SHOES	CLOG	 PUMP	 SLIDE	 WEDGE
69	August 19th, 2023	SLANG FOR CANNABIS	GRASS	 HERB	 MARY JANE	 WEED
68	August 18th, 2023	UNITS OF VOLUME	CUP	 GALLON	 PINT	 QUART
68	August 18th, 2023	EXTREMELY	AWFUL	 QUITE	 SUPER	 VERY
68	August 18th, 2023	WORLD CURRENCIES	RAND	 REAL	 STERLING	 WON
68	August 18th, 2023	___ CAKE	CARROT	 COFFEE	 POUND	 SPONGE
67	August 17th, 2023	DESSERTS	CAKE	 COBBLER	 PIE	 TART
67	August 17th, 2023	OCCUPATIONAL SURNAMES	FISHER	 MASON	 MILLER	 SMITH
67	August 17th, 2023	ALTER DECEPTIVELY	DISTORT	 DOCTOR	 FUDGE	 TWIST
67	August 17th, 2023	SQUARE ___	DANCE	 MEAL	 ONE	 ROOT
66	August 16th, 2023	TIME PERIODS	CENTURY	 DECADE	 MILLENNIUM	 YEAR
66	August 16th, 2023	BREAKFAST FOODS	CEREAL	 OMELET	 PANCAKE	 WAFFLE
66	August 16th, 2023	PAINTERS	BACON	 CLOSE	 MUNCH	 WHISTLER
66	August 16th, 2023	ONE IN A DOZEN	EGG	 JUROR	 MONTH	 ROSE
65	August 15th, 2023	STATES OF MATTER	GAS	 LIQUID	 PLASMA	 SOLID
65	August 15th, 2023	ENERGY	JUICE	 SPIRIT	 STEAM	 VIGOR
65	August 15th, 2023	CLASSICAL ELEMENTS	AIR	 EARTH	 FIRE	 WATER
65	August 15th, 2023	THINGS WITH RINGS	CIRCUS	 SATURN	 TREE	 WEDDING
64	August 14th, 2023	CLASSIC DOG NAMES	FIDO	 LUCKY	 ROVER	 SPOT
64	August 14th, 2023	PERCEIVE	CATCH	 NOTICE	 OBSERVE	 SEE
64	August 14th, 2023	FISHING TERMS	BAIT	 CHUM	 FLY	 SINKER
64	August 14th, 2023	T-___	BONE	 REX	 SHIRT	 STORM
63	August 13th, 2023	FASTENING VERBS	BUCKLE	 BUTTON	 SNAP	 ZIP
63	August 13th, 2023	SLANG FOR ZERO	JACK	 NADA	 NOTHING	 SQUAT
63	August 13th, 2023	GYM EXERCISES	CURL	 LUNGE	 PLANK	 PRESS
63	August 13th, 2023	"CAPTAINS"	CRUNCH	 KANGAROO	 OBVIOUS	 PLANET
62	August 12th, 2023	STATE ABBREVIATIONS	CO	 MA	 ME	 PA
62	August 12th, 2023	MUSICAL NOTES	DO	 FA	 LA	 TI
62	August 12th, 2023	GREEK LETTERS	MU	 NU	 PI	 XI
62	August 12th, 2023	PERIODIC TABLE SYMBOLS	FE	 HE	 NA	 NI
61	August 11th, 2023	THEORETICAL PHYSICISTS	EINSTEIN	 FEYNMAN	 HAWKING	 OPPENHEIMER
61	August 11th, 2023	TALENT	FACULTY	 FLAIR	 GENIUS	 GIFT
61	August 11th, 2023	AUSTRALIAN TERMS	BARBIE	 BUSH	 CRIKEY	 MATE
61	August 11th, 2023	___ POINT	MATCH	 MOOT	 SELLING	 WEST
60	August 10th, 2023	HORROR FRANCHISES	PURGE	 RING	 SAW	 SCREAM
60	August 10th, 2023	SPORTS VENUES	COURT	 DIAMOND	 FIELD	 RINK
60	August 10th, 2023	MAKE HAPPY	CHARM	 DELIGHT	 PLEASE	 TICKLE
60	August 10th, 2023	JEWELRY	ANKLET	 BANGLE	 BROOCH	 PENDANT
59	August 9th, 2023	UNSPECIFIED QUANTITIES	FEW	 HANDFUL	 SEVERAL	 SOME
59	August 9th, 2023	NEWSPAPERS	GLOBE	 JOURNAL	 POST	 SUN
59	August 9th, 2023	CELESTIAL OBJECTS	ASTEROID	 COMET	 MOON	 PLANET
59	August 9th, 2023	FRUIT HOMOPHONES	LYME	 MELLON	 PAIR	 PLUMB
58	August 8th, 2023	ARACHNIDS	MITE	 SCORPION	 SPIDER	 TICK
58	August 8th, 2023	FISH	CHAR	 EEL	 PERCH	 SHARK
58	August 8th, 2023	SUPERHEROES	BLACK WIDOW	 BLADE	 FLASH	 STORM
58	August 8th, 2023	MTV SHOWS	CATFISH	 CRIBS	 JACKASS	 STATE
57	August 7th, 2023	MOVIE GENRES	HORROR	 MUSICAL	 ROMANCE	 WESTERN
57	August 7th, 2023	PATTERNS	HOUNDSTOOTH	 PAISLEY	 PLAID	 STRIPES
57	August 7th, 2023	SYNONYMS FOR FALSEHOOD	FIB	 FICTION	 LIE	 TALE
57	August 7th, 2023	CANDY PIECES	DOT	 GOOBER	 KISS	 WHOPPER
56	August 6th, 2023	CLASSIC ARCADE GAMES	ASTEROIDS	 BREAKOUT	 FROGGER	 PONG
56	August 6th, 2023	DANCES	HUSTLE	 SALSA	 SWING	 TANGO
56	August 6th, 2023	TOUCHSCREEN GESTURES	PINCH	 SPREAD	 SWIPE	 TAP
56	August 6th, 2023	RAPPERS MINUS NUMBERS	CENT	 CHAINZ	 PAC	 SAVAGE
55	August 5th, 2023	CLASSIC TOYS	BLOCKS	 DOLL	 TOP	 YO
55	August 5th, 2023	WORDS WITH THREE G'S	BAGGAGE	 EGGNOG	 GIGGLE	 LEGGINGS
55	August 5th, 2023	SHAKESPEARE CHARACTERS	DUNCAN	 JULIET	 PUCK	 VIOLA
55	August 5th, 2023	___ STICK	FISH	 HOCKEY	 MEMORY	 SELFIE
54	August 4th, 2023	PLACES FOR WORSHIP	ALTAR	 RELIQUARY	 SHRINE	 TEMPLE
54	August 4th, 2023	CARTOON CATS	FELIX	 GARFIELD	 SYLVESTER	 TOM
54	August 4th, 2023	PRESIDENTIAL FIRST NAMES	CALVIN	 CHESTER	 GROVER	 HARRY
54	August 4th, 2023	___ ROAD	ABBEY	 HIGH	 ROCKY	 SILK
53	August 3rd, 2023	ANIMAL GROUP NAMES	COLONY	 HERD	 PRIDE	 SWARM
53	August 3rd, 2023	STONED	BAKED	 BLAZED	 HIGH	 LIT
53	August 3rd, 2023	AP CLASSES	BIO	 CHEM	 GOV	 STATS
53	August 3rd, 2023	TAXONOMY RANKS	CLASS	 DOMAIN	 FAMILY	 ORDER
52	August 2nd, 2023	COMPUTER EQUIPMENT	KEYBOARD	 MONITOR	 MOUSE	 SPEAKER
52	August 2nd, 2023	RODENTS	GERBIL	 HAMSTER	 RAT	 VOLE
52	August 2nd, 2023	MUSICAL INSTRUMENTS	HARP	 HORN	 ORGAN	 TRIANGLE
52	August 2nd, 2023	SYNONYMS FOR COMPLAIN	CARP	 GRIPE	 GROUSE	 MOAN
51	August 1st, 2023	LONG SANDWICHES	HERO	 HOAGIE	 GRINDER	 SUB
51	August 1st, 2023	DATING APPS	BUMBLE	 HINGE	 MATCH	 TINDER
51	August 1st, 2023	VAMPIRE MOVIES	BLADE	 LOST BOYS	 NEAR DARK	 TWILIGHT
51	August 1st, 2023	ADAMS	ANT	 DRIVER	 SCOTT	 WEST
50	July 31st, 2023	UNITS OF LENGTH	FOOT	 INCH	 MILE	 YARD
50	July 31st, 2023	TYPES OF PAINT	ACRYLIC	 OIL	 TEMPERA	 WATERCOLOR
50	July 31st, 2023	DEEP-FRIED FOOD	FALAFEL	 KATSU	 SAMOSA	 SCHNITZEL
50	July 31st, 2023	STARTS OF U.S. COINS	DIM	 NICK	 PEN	 QUART
49	July 30th, 2023	RELATIVES	AUNT	 COUSIN	 MOTHER	 NEPHEW
49	July 30th, 2023	SYNONYMS FOR OFFBEAT	DAFFY	 KOOKY	 QUIRKY	 WACKY
49	July 30th, 2023	DISNEY DUCKS	DAISY	 DEWEY	 DONALD	 SCROOGE
49	July 30th, 2023	___ CLOCK	ALARM	 BIOLOGICAL	 CUCKOO	 GRANDFATHER
48	July 29th, 2023	FABRICS	CORDUROY	 DENIM	 LINEN	 TWEED
48	July 29th, 2023	APPARITIONS	GHOST	 PHANTOM	 SPECTER	 SPIRIT
48	July 29th, 2023	SYNONYMS FOR BOTHER	NEEDLE	 POKE	 RIB	 TEASE
48	July 29th, 2023	DISNEY CHARACTERS	BEAST	 GENIE	 SCAR	 STITCH
47	July 28th, 2023	BIOMES	DESERT	 FOREST	 GRASSLAND	 TUNDRA
47	July 28th, 2023	LIZARDS	CHAMELEON	 GECKO	 IGUANA	 MONITOR
47	July 28th, 2023	YOGA POSES	COBRA	 LOTUS	 TREE	 WARRIOR
47	July 28th, 2023	DANCES WHEN DOUBLED	CAN	 CHA	 GO	 NAE
46	July 27th, 2023	MOVIE TITLE CITIES	CHICAGO	 MUNICH	 PHILADELPHIA	 RIO
46	July 27th, 2023	FASHION MAGAZINES	ALLURE	 ELLE	 GLAMOUR	 W
46	July 27th, 2023	STORMS	BLIZZARD	 CYCLONE	 SQUALL	 TORNADO
46	July 27th, 2023	COCKTAILS	COSMOPOLITAN	 HURRICANE	 MANHATTAN	 SCREWDRIVER
45	July 26th, 2023	MODES OF TRANSPORTATION	BOAT	 CAR	 PLANE	 TRAIN
45	July 26th, 2023	NBA PLAYERS	KING	 MAGIC	 SUN	 THUNDER
45	July 26th, 2023	FAST FOOD CHAINS	CHECKERS	 OUTBACK	 SONIC	 SUBWAY
45	July 26th, 2023	BAND NAMES MINUS COLORS	DAY	 FLOYD	 SABBATH	 STRIPES
44	July 25th, 2023	STATES OF MATTER	GAS	 LIQUID	 PLASMA	 SOLID
44	July 25th, 2023	EDIT MENU COMMANDS	COPY	 CUT	 PASTE	 UNDO
44	July 25th, 2023	DEFEAT BADLY	CRUSH	 ROUT	 SHELLAC	 TRASH
44	July 25th, 2023	ANAGRAMS	LEAST	 SLATE	 STALE	 TESLA
43	July 24th, 2023	SYNONYMS FOR ANGRY	FURIOUS	 INCENSED	 IRATE	 LIVID
43	July 24th, 2023	THINGS THAT ARE YELLOW	BANANA	 CANARY	 SCHOOL BUS	 SUNFLOWER
43	July 24th, 2023	MARINE BIRDS	BOOBY	 GULL	 PELICAN	 PUFFIN
43	July 24th, 2023	___ BOYS	BEACH	 BEASTIE	 HARDY	 LOST
